team,p_reach_R32,p_reach_R16,p_reach_QF,p_reach_SF,p_reach_final,p_champion
Spain,0.927004522220968,0.7601419185078649,0.5017524510240212,0.3516836173028596,0.2249269692372664,0.13204217656774345
France,0.9216128491036087,0.808490823845223,0.7309944876524912,0.42116996423333003,0.21830720919111832,0.11223023785674147
England,0.9175260267285352,0.8022470175595364,0.5391085648915821,0.3150531863405309,0.1702907730577902,0.09211039081698569
Argentina,0.5750156074558231,0.38359677761056965,0.27515811244528277,0.19127366003105647,0.12874330851824725,0.08639340907639419
Portugal,0.9151871636235576,0.803066244735966,0.5032090534907766,0.27801400775759594,0.15245066956340655,0.07707158355617874
Brazil,0.9247938279577842,0.7773921790357042,0.4827613154728846,0.2844559929727836,0.14833772967323686,0.07682472797222484
Germany,0.907165181599492,0.7408250797566204,0.40031489703396433,0.2173351961434306,0.10569499374695657,0.04983864627455416
Netherlands,0.8976599317618934,0.5115016304134617,0.3073867636813562,0.1652763788283418,0.0789799877822531,0.036721863991224304
Colombia,0.4273279120012955,0.25730024295896564,0.1399943740896204,0.0749584401959863,0.0392823886281109,0.01953425115759337
Morocco,0.41061210462700887,0.23052223951505663,0.13312037667641274,0.07325545884549546,0.03782666066483444,0.019151617671034484
Mexico,0.792377126947368,0.4605258466876043,0.22459483868453306,0.09654459641534578,0.042054487649285856,0.01896987521096861
Belgium,0.5146859433299971,0.3195841465990634,0.17551390098091105,0.08062447192853105,0.03932904144798718,0.017803151221687793
Japan,0.42897271659325054,0.22098306516427918,0.12758094805494297,0.06844907085427689,0.03447573743651397,0.016804760087442937
United States,0.8942748545312497,0.7820492346230904,0.6762456772984456,0.18542813078069775,0.053677284713214195,0.01584141651277396
Norway,0.5181691296843941,0.2896836693568971,0.1491607536572347,0.07475815869097063,0.035020967858553034,0.01582590800739947
Uruguay,0.5436052140726378,0.24182869916954844,0.1266380897939322,0.06219629037371217,0.029199238367390006,0.013490415187662015
Ecuador,0.3567894309927309,0.1962557863172753,0.10219814304143289,0.05363523214266116,0.026573763156545666,0.013118934857539281
Turkey,0.9011788359600443,0.49016624132951614,0.21067278252344793,0.08122175651230931,0.03334591595679509,0.012964110645570704
Croatia,0.5878149710971932,0.2867439797508501,0.13438414020633502,0.06413943595721135,0.02925157924515053,0.012523187546283966
